Sl No,Name Of School With Address,Type
260,"ANJUHAM PRIMARY SCHOOL, CHENNAI-94",PRIMARY SCHOOL
261,"SWAMI CMDAMBARANAR KALVI NILAYAM, CHENNAI-94",PRIMARY SCHOOL
262,"KAVERI PRIMARY SCHOOL, CHENNAI-26",PRIMARY SCHOOL
263,"DANIEL THOMAS PRIMARY SCHOOL, CHENNAI-106",PRIMARY SCHOOL
264,"KESARITELUGU PRIMARY SCHOOL, CHENNAI-17",PRIMARY SCHOOL
265,"ST JOSEPH'S PRIMARY SCHOOL, CHENNAI-34",PRIMARY SCHOOL
266,"T.B.M. PRIMARY SCHOOL, CHENNAI-106",PRIMARY SCHOOL
267,"T.E.L.C PRIMARY SCHOOL, TANA STREET,CHENNAI-10",PRIMARY SCHOOL
268,"T.E.L.C. PRIMARY SCHOOL, BRICKINS SALALCHENNAI-7",PRIMARY SCHOOL
269,"T.E.L.C. PRIMARY SCHOOL, TAILORS SALAI,CHENNAI-10",PRIMARY SCHOOL
270,"KERALA VID. PRIMARY SCHOOL, CHENNAI-84",PRIMARY SCHOOL
271,"NIRMALA PRIMARY SCHOOL, CHENNAI-23",PRIMARY SCHOOL
272,"W.P.A. SOUNDARAPANDIAN PRIMARY SCHOOL, CHENNAI-23",PRIMARY SCHOOL
273,"MALAYALA VID. PRIMARY SCHOOL, CHENNAI-12",PRIMARY SCHOOL
274,"NESA MUNISWAMY PRIMARY SCHOOL, CHENNAI-7",PRIMARY SCHOOL
275,"THARAPOOR LOGANATHAN PRIMARY SCHOOL, CHENNAI-23",PRIMARY SCHOOL
276,"T.B.M. PRIMARY SCHOOL, CHENNAI-10",PRIMARY SCHOOL
277,"LADY NAILE PRIMARY SCHOOL, CHENNAI-113",SPECIAL PRIMARY SCHOOL
278,"RAJ BHAVAN PRIMARY SCHOOL, CHENNAI-22",SPECIAL PRIMARY SCHOOL
279,"ST.LAZARAS MIDDLE SCHOOL, CHENNAI-28",MIDDLE SCHOOL
280,"ERANXIS SAVIOR MIDDLE SCHOOL, CHENNAI-18",MIDDLE SCHOOL
281,"C.S.I. PUDUPAKKAM MIDDLE SCHOOL, CHENNAI-14",MIDDLE SCHOOL
282,"ST JOHNSON MIDDLE SCHOOL, CHENNAI-14",MIDDLE SCHOOL
283,"ALL SAITS MIDDLE SCHOOL, CHENNAI-4",MIDDLE SCHOOL
284,"ST.ANTHONIYAR MIDDLE SCHOOL, CHENNAI",MIDDLE SCHOOL
285,"ST.HEAR MIDDLE SCHOOL, EGMORE,CHENNAI-8",MIDDLE SCHOOL
286,"ST. AUGUST AIN MIDDLE SCHOOL, CHENNAI-",MIDDLE SCHOOL
287,"R.P.C.C.C. MIDDLE SCHOOL, CHENNAI",MIDDLE SCHOOL
288,"DHANAKOTTI MIDDLE SCHOOL, CKNTHATHRIPET, CHENNAI-2",MIDDLE SCHOOL
289,"SIVARAMAN MIDDLE SCHOOL, CKNTHATHRIPET, CHENNAI-2",MIDDLE SCHOOL
290,"C.S.I. MIDDLE SCHOOL, CHENNAI-112",MIDDLE SCHOOL
291,"C.S.I(G.M) MIDDLE SCHOOL, CHENNAI-79",MIDDLE SCHOOL
292,"C.S.I M.M MIDDLE SCHOOL, CHENNAI-79",MIDDLE SCHOOL
293,"C.S.I MINT MIDDLE SCHOOL, CHENNAI-1",MIDDLE SCHOOL
294,"ST. MAREK MIDDLE SCHOOL, CHENNAI 1",MIDDLE SCHOOL
295,"HINDU UNION COMMITTEE MIDDLE SCHOOL, CHENNAI-3",MIDDLE SCHOOL
296,"SAIVETE MIDDLE SCHOOL, CHENNAI-79",MIDDLE SCHOOL
297,"VISWABARATHY MIDDLE SCHOOL, CHENNAI-79",MIDDLE SCHOOL
298,"J.R.E.TRAGHJA MIDDLE SCHOOL,AGRAM, CHENNAI-118",MIDDLE SCHOOL
299,"A.N.M MIDDLE SCHOOL, CHENNAI-118",MIDDLE SCHOOL
300,"NEHRU MIDDLE SCHOOL, CHENNAI-118",MIDDLE SCHOOL
301,"M.P.DEVADOSS MIDDLE SCHOOL, VELACHERY,CHENNAI-39",MIDDLE SCHOOL
302,"ARAYASAMAJ MIDDLE SCHOOL, CHENNAI-39",MIDDLE SCHOOL
303,"VIVEK MIDDLE SCHOOL, CHENNAI-11",MIDDLE SCHOOL
304,"VANI MIDDLE SCHOOL, CHENNAI-11",MIDDLE SCHOOL
305,"ANNAI VELAN RANK MIDDLE SCHOOL, M.K.B NAGAR,CHENNAI-3",MIDDLE SCHOOL
306,"NORTH MADRAS SERVICE MIDDLE SCHOOL, CHENNAI-21",MIDDLE SCHOOL
307,"NATIONAL CHRIST MIDDLE SCHOOL, CHENNAI- 21",MIDDLE SCHOOL
308,"ARUL JOTK MIDDLE SCHOOL, CHENNAI-21",MIDDLE SCHOOL
309,"R.S.R MIDDLE SCHOOL, CHENNAI-21",MIDDLE SCHOOL
310,"NETHAJI MIDDLE SCHOOL, CHENNAI-81",MIDDLE SCHOOL
311,"ARINGAR ANNA MIDDLE SCHOOL, CHENNAI-81",MIDDLE SCHOOL
312,"B SUBBARAY MIDDLE SCHOOL, CHENNAI-21",MIDDLE SCHOOL
313,"NATIONAL MIDDLE SCHOOL, CHENNAI-13",MIDDLE SCHOOL
314,"SRI RAMAKRISHNA MIDDLE SCHOOL, CHENNAI-13",MIDDLE SCHOOL
315,"NORTH MADRAS MIDDLE SCHOOL, CHENNAI-21",MIDDLE SCHOOL
316,"THANJAGHAN MOHAN MIDDLE SCHOOL, CHENNAI-21",MIDDLE SCHOOL
317,"NATAR MIDDLE SCHOOL, CHENNAI-21",MIDDLE SCHOOL
318,"A.C. MIDDLE SCHOOL, CHENNAI-32",MIDDLE SCHOOL
319,"AC.MIDDLE SCHOOL, CHENNAI-113",MIDDLE SCHOOL
320,"C.S.I. MIDDLE SCHOOL, CHENNAI-15",MIDDLE SCHOOL
321,"ST.ANTHONIYAR MIDDLE SCHOOL, CHENNAI-42",MIDDLE SCHOOL
322,"ST.FRANCIS XAVIER MIDDLE SCHOOL, CHENNAI-15",MIDDLE SCHOOL
323,"ST.MARELE MIDDLE SCHOOL, CHENNAI-88",MIDDLE SCHOOL
324,"A.C. MIDDLE SCHOOL,TKRUVANMIYUR, CHENNAI-41",MIDDLE SCHOOL
325,"ANNAPOORANIAMMAL MIDDLE SCHOOL, CHENNAI-33",MIDDLE SCHOOL
326,"GANAPATM NATIONAL MIDDLE SCHOOL, CHENNAI-15",MIDDLE SCHOOL
327,"ARIMA SANGAM MIDDLE SCHOOL, CHENNAI-32",MIDDLE SCHOOL
328,"SARADHA MIDDLE SCHOOL, CHENNAI-33",MIDDLE SCHOOL
329,"TKRUVALLUVAR GURUGULAM MIDDLE SCHOOL, CHENNAI-15",MIDDLE SCHOOL
330,"BIRMASAMAJAM MIDDLE SCHOOL, CHENNAI-79",MIDDLE SCHOOL
331,"KAMAL VINAYAR MIDDLE SCHOOL, CHENNAI-13",MIDDLE SCHOOL
332,"KANNAPPA NAIYANAR MIDDLE SCHOOL, CHENNAI-13",MIDDLE SCHOOL
333,"N.A.P MIDDLE SCHOOL, CHENNAI-1",MIDDLE SCHOOL
334,"P NAGAMMA MIDDLE SCHOOL, CHENNAI-1",MIDDLE SCHOOL
335,"DR.DHARMAMBAL MIDDLE SCHOOL, CHENNAI-1",MIDDLE SCHOOL
336,"SARADA VID. MIDDLE SCHOOL, CHENNAI-1",MIDDLE SCHOOL
337,"ST.ANNES MIDDLE SCHOOL, CHENNAI-1",MIDDLE SCHOOL
338,"V SUBRAMANIYAM MIDDLE SCHOOL, CHENNAI-1",MIDDLE SCHOOL
339,"CKNTHATHRIPET MIDDLE SCHOOL, CHENNAI-2",MIDDLE SCHOOL
340,"DEVI NAGA SAKTK MIDDLE SCHOOL, CHENNAI-5",MIDDLE SCHOOL
341,"H.H.MANDLE MIDDLE SCHOOL, CHENNAI-5",MIDDLE SCHOOL
342,"C.S.I MIDDLE SCHOOL, CHENNAI-5",MIDDLE SCHOOL
343,"R.K.M.S.V. MIDDLE SCHOOL, RAMANATHAN ST.,CHENNAI-17",MIDDLE SCHOOL
344,"V.S.B MIDDLE SCHOOL, CHENNAI-15",MIDDLE SCHOOL
345,"VALLLIAMMAL RAJABHADHAR MIDDLE SCHOOL, CHENNAI-34",MIDDLE SCHOOL
346,"RAMALINGA MISSION MIDDLE SCHOOL, CHENNAI-26",MIDDLE SCHOOL
347,"AMBATTUR LIONS CLUB MIDDLE SCHOOL, CHENNAI-78",MIDDLE SCHOOL
348,"C.S.I MIDDLE SCHOOL,PERUMAL PET, CHENNAI-7",MIDDLE SCHOOL
349,"C.S.I MIDDLE SCHOOL,TANA STREET, CHENNAI-7",MIDDLE SCHOOL
350,"C.S.I. MIDDLE SCHOOL, SUNDARAM STREET, CHENNAI-7",MIDDLE SCHOOL
351,"MARI IMMACULATE MIDDLE SCHOOL, CHENNAI-10",MIDDLE SCHOOL
352,"SRI. ARANGAIAH NAIDU MIDDLE SCHOOL, CHENNAI-23",MIDDLE SCHOOL
353,"D.S.M. MIDDLE SCHOOL, CHENNAI-12",MIDDLE SCHOOL
354,"R.B.C.N MIDDLE SCHOOL, CHENNAI-8",MIDDLE SCHOOL
355,"SRI.MEENAKSHI MIDDLE SCHOOL, CHENNAI-23",MIDDLE SCHOOL
