source_record_id,source_file,library_id,name,address,geocode_provider,geocode_query,geocode_result_label,latitude,longitude,confidence,review_status,notes
dpl_location_0020,operations__north_zone.html,dpl_mundka_closed_0020,Mundka Closed,"Delhi Public Library, Community Centre, Near Supar Bazar, Mundka Village, New Delhi-110041",,"Delhi Public Library, Community Centre, Near Supar Bazar, Mundka Village, New Delhi-110041, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0021,operations__north_zone.html,dpl_karol_bagh_closed_0021,Karol Bagh Closed,"Delhi Public Library,5/56, D.B.Gupta Road, Karol Bagh, New Delhi-110005",,"Delhi Public Library,5/56, D.B.Gupta Road, Karol Bagh, New Delhi-110005, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0023,operations__south_zone.html,dpl_braille_library_0023,Braille Library,"Delhi Public Library, Blind Relief Association, Near Oberoi Hotel, Lal Bahadur Shastri Marg, New Delhi-110003",,"Delhi Public Library, Blind Relief Association, Near Oberoi Hotel, Lal Bahadur Shastri Marg, New Delhi-110003, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0024,operations__south_zone.html,dpl_r_k_puram_sector_8_0024,"R.K.Puram, Sector-8","Delhi Public Library, Flat no 3 and 4, Sector-8 Market, R.K.Puram, New Delhi-110022",,"Delhi Public Library, Flat no 3 and 4, Sector-8 Market, R.K.Puram, New Delhi-110022, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0025,operations__south_zone.html,dpl_andrews_gunj_0025,Andrews Gunj,"Delhi Public Library, Community Centre, Andrews Ganj, New Delhi-110049",,"Delhi Public Library, Community Centre, Andrews Ganj, New Delhi-110049, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0026,operations__south_zone.html,dpl_vinoba_puri_0026,Vinoba Puri,"Delhi Public Library, Cultural Centre, Ground Floor, Near Vinoba Puri Metro Station, Vinoba Puri,New Delhi-110024",,"Delhi Public Library, Cultural Centre, Ground Floor, Near Vinoba Puri Metro Station, Vinoba Puri,New Delhi-110024, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0027,operations__south_zone.html,dpl_dakshin_puri_0027,Dakshin Puri,"Delhi Public Library, Community Centre, Dakshin Puri, New Delhi-110062",,"Delhi Public Library, Community Centre, Dakshin Puri, New Delhi-110062, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0028,operations__south_zone.html,dpl_lodhi_colony_0028,Lodhi Colony,"Delhi Public Library, Community Centre, Lodhi Colony, New Delhi-110003",,"Delhi Public Library, Community Centre, Lodhi Colony, New Delhi-110003, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0030,operations__west_zone.html,dpl_janak_puri_0030,Janak Puri,"Delhi Public Library, Community Centre, C Block, Behind Janak Cinema, New Delhi-110058",,"Delhi Public Library, Community Centre, C Block, Behind Janak Cinema, New Delhi-110058, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0031,operations__west_zone.html,dpl_peshwa_road_0031,Peshwa Road,"Delhi Public Library, Samaj Sadan 1st floor, Grih Kalyan Kendra, Near Gole Market, New Delhi-110001",,"Delhi Public Library, Samaj Sadan 1st floor, Grih Kalyan Kendra, Near Gole Market, New Delhi-110001, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0032,operations__west_zone.html,dpl_diz_area_0032,DIZ. Area,"Delhi Public Library, Samaj Sadan, Grih Kalyan Kendra, R.K.Ashram Marg, DIZ Area, New Delhi-110001",,"Delhi Public Library, Samaj Sadan, Grih Kalyan Kendra, R.K.Ashram Marg, DIZ Area, New Delhi-110001, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0033,operations__west_zone.html,dpl_kasturba_gandhi_marg_0033,Kasturba Gandhi Marg,"Delhi Public Library, Asia House (First Floor), Near Vidhya Bharati School, K.G.Marg, New Delhi-110001",,"Delhi Public Library, Asia House (First Floor), Near Vidhya Bharati School, K.G.Marg, New Delhi-110001, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0034,operations__west_zone.html,dpl_tri_nagar_0034,Tri Nagar,"Delhi Public Library, MCD Building, Talab Road, Totaram Bazar, Tri Nagar, Delhi-110035",,"Delhi Public Library, MCD Building, Talab Road, Totaram Bazar, Tri Nagar, Delhi-110035, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
dpl_location_0035,operations__west_zone.html,dpl_tihar_jail_0035,Tihar Jail,"Delhi Public Library, Gate No 2, Tihar Jail complex, New Delhi-110064",,"Delhi Public Library, Gate No 2, Tihar Jail complex, New Delhi-110064, India",,,,,needs_geocode,Address is DPL-published; coordinates are pending reproducible geocoding/review.
