type,number,constituency,representative,party
AC,115.0,JATANI,Biswaranjan Badajena,BJP
AC,113.0,BHUBANESWAR(UTTAR),Priyadarshi Mishra,BJP
AC,112.0,BHUBANESWAR(MADHYA),Jagannath Pradhan,BJP
AC,114.0,EKAMRA-BHUBANESHWAR,Babu Singh,BJP
AC,116.0,BEGUNIA,Prakash Chandra Ranabijuli,BJP
AC,117.0,KHURDA,Prasanta Kumar Jagadev,BJP
PC,18,Bhubaneswar,Aparajita Sarangi,BJP
