year,code,head,page,dept,dept_name,raw_line
2019-20-EN,64414,TRAFFIC CONTROL BLOCK (capex),280,381,"ROADS,STREETS, PAVEMENTS",161.34 133.72 500.00 64414 TRAFFIC CONTROL BLOCK 800.00 800.00 800.00 1300.00
2019-20-EN,64452,70:20:10 SCHEME ROAD IN SOC (capex),280,381,"ROADS,STREETS, PAVEMENTS",5057.89 6294.78 6300.00 64452 EXPENSE UNDER 70:20:10 GR ANT SCHEME CONTRI.
2019-20-EN,64453,R.C.C. ROAD (capex),280,381,"ROADS,STREETS, PAVEMENTS",0.00 0.00 0.00 64453 R.C.C. ROAD 0.00 0.00 0.00 1500.00
2019-20-EN,64729,HOT MIX PLANT (capex),280,381,"ROADS,STREETS, PAVEMENTS",0.00 0.00 0.00 64729 HOT MIX PLANT 0.00 1000.00 1000.00 2000.00
2019-20-EN,DEPT381,DEPT TOTAL,280,381,"ROADS,STREETS, PAVEMENTS 13000.00 18700.00 18700.00 6943.72 ","381 ROADS,STREETS, PAVEMENTS 13000.00 18700.00 18700.00 6943.72 9146.28 17800.00 10105.00"
2019-20-EN,64402,OTHER BRIDGES (capex),280,382,BRIDGES,2442.69 1918.84 2100.00 64402 OTHER BRIDGES 16000.00 19200.00 19200.00 17200.00
2019-20-EN,DEPT382,DEPT TOTAL,280,382,BRIDGES 17000.00 20200.00 20200.00 2442.69 1918.84 17700.00 ,382 BRIDGES 17000.00 20200.00 20200.00 2442.69 1918.84 17700.00 2200.00
2019-20-EN,64401,ROADS AND STREETS RESURFACING (capex),284,962,ZONAL CAPITAL WORKS,3733.88 2366.23 4853.61 64401 ROADS AND STREETS RESURFA CING 8258.87 8258.87 8258.87 7954.66
2019-20-EN,64406,ROADS AND STREETS - GENERAL (capex),284,962,ZONAL CAPITAL WORKS,1135.12 564.52 1150.26 64406 ROADS AND STREETS- GENERAL 2350.68 2350.68 2350.68 1354.26
2019-20-EN,64407,FOOTPATH AND PAVEMENTS (capex),284,962,ZONAL CAPITAL WORKS,1122.81 1476.61 2290.61 64407 FOOTPATH AND PAVEMENTS 3308.78 3308.78 3308.78 2678.01
2019-20-EN,DEPT962,DEPT TOTAL,285,962,ZONAL CAPITAL WORKS 45000.00 45000.00 45000.00 14513.64 1283,962 ZONAL CAPITAL WORKS 45000.00 45000.00 45000.00 14513.64 12833.87 38000.00 18000.00
2019-20-EN,DEPT967,DEPT TOTAL,285,967,JNNURM PROJECT 1000.00 1000.00 1000.00 6101.71 2642.50 3800.,967 JNNURM PROJECT 1000.00 1000.00 1000.00 6101.71 2642.50 3800.00 1778.00
2019-20-EN,64401,ROADS AND STREETS RESURFACING (capex),286,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,7556.64 7614.45 10000.00 64401 ROADS AND STREETS RESURF ACING 7500.00 7500.00 7500.00 6000.00
2019-20-EN,64402,OTHER BRIDGES (capex),286,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,4708.32 9159.12 13000.00 64402 OTHER BRIDGES 10000.00 10000.00 10000.00 10000.00
2019-20-EN,64406,ROADS AND STREETS - GENERAL (capex),286,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,2477.19 1601.88 3500.00 64406 ROADS AND STREETS- GENERA L 4000.00 4000.00 4000.00 3500.00
2019-20-EN,64407,FOOTPATH AND PAVEMENTS (capex),286,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,27.76 197.70 400.00 64407 FOOTPATH AND PAVEMENTS 400.00 400.00 400.00 200.00
2019-20-EN,64410,NALA - GENERAL (capex),286,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,2715.55 2268.72 1500.00 64410 NALA - GENERAL 1500.00 1500.00 1500.00 2000.00
2019-20-EN,64414,TRAFFIC CONTROL BLOCK (capex),286,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,241.14 359.69 400.00 64414 TRAFFIC CONTROL BLOCK 200.00 200.00 200.00 200.00
2019-20-EN,64453,R.C.C. ROAD (capex),286,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT,719.75 721.20 700.00 64453 R.C.C. ROAD 4000.00 4000.00 4000.00 100.00
2019-20-EN,DEPT968,DEPT TOTAL,287,968,WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT 75000.0 0 75000,968 WORKS TAKEN UNDER C.M. SWARNIM GUJARAT GRANT 75000.0 0 75000.00 75000.00 55061.66 50145.42 60000.00 70000.00
2019-20-EN,DEPT969,DEPT TOTAL,287,969,AMRUT 25000.00 25000.00 25000.00 200.59 5524.71 23500.00 150,969 AMRUT 25000.00 25000.00 25000.00 200.59 5524.71 23500.00 15000.00
