Name of Ground,Location,Area in Sq. Mtr,Circle ,Zone
Sri Ram Lila Maidan,Near Om Janda,13500,15,North Zone
Bhagath Singh Nagar,Neredmet,1614,17,North Zone
AP Housing Board Cly,Opp. IDPL Cly,6000,15,North Zone
Venkatapuram Colony,Padmarao Nagar,2622.8,18,North Zone
Danda Mudi Encalve (B),Petbasheerabad,3000,15,North Zone
BHEL  R&D Cly 'B' ground ,Petbasheerabad,6000,15,North Zone
Danda Mudi Encalve (A) big ground.,Petbasheerabad,12140,15,North Zone
Meenakshi Enclave,Petbasheerabad,5400,15,North Zone
Mekalabanda,Ramgopalpet,376,18,North Zone
Gasmandi PG,Ramgopalpet,2831.06,18,North Zone
Audhiah Nagar PG,Ramgopalpet,9149.08,18,North Zone
Defence Colony Play Ground H.No.36-52 opp Foster school,Sainikpuri,4278,17,North Zone
"Ambedkar Nagar Association,Sainikpuri PG",Sainikpuri,568.34,17,North Zone
Beedalbasthi,Seethaphalmandi,1275.63,18,North Zone
Medi Bhavi Play Ground,Seethaphalmandi,2754,18,North Zone
Srinivas Nagar chintal,chintal,11760,15,North Zone
Govt. High School (Qutubullapur),gajularamaram,23322,15,North Zone
RING BASTHI,jagadgirigutta,4200,15,North Zone
pragatools colony,opp peoples pleaza jeedimetla village.,1800,15,North Zone
Malakpet (Volley Ball) - II,Aiza School,3000,4,South Zone
Malakpet (Library),Aiza School,957,4,South Zone
Malakpet (Hockey) - I,Akbar Tower,2368,4,South Zone
Malakpet D Colony Â¿BÂ¿ Block Playground,Asfia School,1800,4,South Zone
Mustak Mahal Playground,At Gurdwara Temple,500,6,South Zone
Shiva Playground,At Gurdwara Temple,13500,6,South Zone
Mustak Mahal Residents Welfare Association Opp C/Hall,At Huda Colony,144,6,South Zone
Omkar Slauther House Playground,At Mekala Mandi,1100,4,South Zone
Budvail Playground,At Police Quarters,880,6,South Zone
Jahanuma,At Presidency School,9000,5,South Zone
Indra Reddy Nagar Play Ground,At Ration Shop,8424,6,South Zone
Nagulchinta Ladies Playground,Back Side Gowtham College,588,5,South Zone
Keshavagiri,Back Side PS,800,4,South Zone
Dana Balama Basti  Pg,Back Side RTO Office,1520,4,South Zone
Masjid Almas Ykt,Back Side Rein Bazar PS,828,4,South Zone
Sarfakaspaltan PG - II,Back Side Rice Mill,480,4,South Zone
Anand Nagar I,Back Side Rice Mill,170,4,South Zone
Anand Nagar II,Back Side Rice Mill,1440,4,South Zone
Sarfakaspaltan PG - I,Back Side Rice Mill,2072,4,South Zone
Kuche Fatehullah Baig,Back Side Sana function Hall,874,4,South Zone
"Andhra bank Colony, Asmangad Indoor Stadim",Back Side T.V. Tower,1457,4,South Zone
Murtuza Nagar,Back side Ashraful School,812,4,South Zone
Model Colony,Back side of Shama Theater,750,5,South Zone
Chudibazar,Behind Grave Yard,3162,5,South Zone
Maisaram,Beside CRPF,8670,4,South Zone
Rein Bazar Play Ground,Beside Government School,960,4,South Zone
Khalapattar,Beside PS,600,5,South Zone
Kumarwadi,Beside R.R. Gotka Factory,650,4,South Zone
Darul Shafa PG,Biside Traffic Police Station,2288,4,South Zone
Chelapura,Chelapur,1470,5,South Zone
Murad Mahal,Fish Lane,588,4,South Zone
Ghazi Bazar,Ghazi Bazar,3430,5,South Zone
Patel Nagar,HP Gas Co. Back side,972,4,South Zone
"Srt, Yakatpura-Ii",Islamia Degree College Beside,946,4,South Zone
Kokkatwadi,Kokkatwadi,800,5,South Zone
Farrah Colony,Masjid E Quba Back Side,1050,4,South Zone
Nagulchinta Arya Maidan Playground,Near Arya Samaj,2312,4,South Zone
Sultan Shahi Ashok Pillar,Near Ashok Pillar,3360,4,South Zone
Hari Bowli Pg,Near Bangaru Maisaama Temple,744,4,South Zone
Shivaji Nagar Colony ,Near Bangaru Maisaama Temple,490,4,South Zone
Balaganj,Near Bhavani Silk House,352,4,South Zone
Khilwat,Near Chowmohalla Palace,14000,5,South Zone
Basti Nabhi Kareem Kunteyadgar Hussain ,Near Edgha,500,5,South Zone
Gowlipura Mitra Club,Near Gandhi Statue,3068,4,South Zone
Kandikal Gate,Near Harijan Basthi C/Hall,459,4,South Zone
Ambica Nagar,Near Kanya Gupta,410,4,South Zone
Maharana Pratap C.Hall & Pg,"Near Khodaki Khabar, Goshamahal",825,5,South Zone
Azad Playground,Near Madanapet Mandi,390,4,South Zone
Madanpet,Near Madanapet Mandi,420,4,South Zone
Haribowli II,Near Main Road,437,4,South Zone
Masjidi Arfat,Near Masid Arfat (Ebrahim Pailvan),900,4,South Zone
Kuchedharab Jung,Near Masjid,798,4,South Zone
Taleem Mallad,Near Masjid,67200,5,South Zone
"Srt, Yakatpura-I",Near Morning Star Hotel,1566,4,South Zone
Santhosh Nagar Post Office Playground - II,Near Post Office,1600,4,South Zone
"Uppuguda, Hanuman Nagar Railway Road",Near Railway Road,486,4,South Zone
Phoola Banda,Near St.Aribondo School,3192,5,South Zone
Sultan Shahi Jagadambha Temple,Near Temple,540,4,South Zone
Sultan Shan  Markandya Playground Beside Temple ,Near Valmikinagar,522,4,South Zone
Masqati Pg,Near Water Tank,546,4,South Zone
Balsettiketh,Near Water Tank,952,4,South Zone
Eashwar Play Ground,Nearby to Eashwar Theater,480,6,South Zone
Â¿ C Â¿ Colony Malakpet Colony,Opp. Asfia School,1600,4,South Zone
Revenue Board Colony,Opp. Asmanghad,1600,4,South Zone
Raju Nagar,Opp. Centring Shop,784,4,South Zone
Noorkhan Bazar,Opp. Electricity Office,1936,4,South Zone
Mekala Banda,"Opp. Krishna Yadav, Ex-Minister",874.2,4,South Zone
Manjumiya Ka Tabela,Opp. Mahamood Hussain (Advocate House),868,4,South Zone
Sastripuram Cricket Playground,Opp. Mahankali Temple,30000,6,South Zone
Aliabad,Opp. Masjid,1049.22,4,South Zone
Patel Pg,Opp. Post Office Shalibanda,3500,5,South Zone
Chandulal Baradari,Opp. Swimming Pool,6000,5,South Zone
Hanuman Nagar - II Playgrond Near Temple,Opp. Temple,696.3,4,South Zone
RamnasPura Playground,Opp. Zoo park,1050,5,South Zone
Malakpet pg (Basket Ball) - II,Opp.Aiza School,496,4,South Zone
"Sbh I, Saidabad",Opp.Apollo Pharmacy,500,4,South Zone
Imambada,Opp.Auto Garage (Alawa),504,4,South Zone
Farrad Nagar,Opp.Dabeerpur Nala,4800,4,South Zone
Phool Bagh PG,Opp.Emily School,4941,4,South Zone
Dargha Barhancy Shah Pg Riyasat Nagar ,Opp.Ex-Corporator Sri Saleem Beig,440,4,South Zone
Kranthi Nagar Playground ,Opp.Grave Yard,1500,4,South Zone
Jahanuma 2d,Opp.Lane of Arfat Hotel,300,5,South Zone
Baba Nagar Pg,Opp.MIM Office,360,4,South Zone
Andhra Colony-II,Opp.Mumtaz College,1225,4,South Zone
Andhra Colony,Opp.Mumtaz College,770,4,South Zone
Gandhi Nekathan Playgrond,Opp.Omkar PG,837,4,South Zone
Bahadurpura,Opp.Police Station,2640,5,South Zone
"Shalivahana Nagar I, Moosarambagh",Opp.RTO Office,600,4,South Zone
Azampura II,Opp.Saifa Masjid,34.04,4,South Zone
Hero Honda Shooram Moosarambagh,Opp.T.V. Tower,2968,4,South Zone
Azampura I,Opp.Ward Officw,1384.5,4,South Zone
Santosh Nagar I,Opp.Yadagiri Theater,1665,4,South Zone
Santosh Nagar III,Opp.Yadagiri Theater,5760,4,South Zone
Santosh Nagar V,Opp.Yadagiri Theater,864,4,South Zone
Santosh Nagar IV,Opp.Yadagiri Theater,960,4,South Zone
Gode-Ka-Khabhar,Pan Mandi,6080,5,South Zone
Laxmi Nagar I,Saibaba Temple Back Side,2580,4,South Zone
Ligh Colony Saidabad-II,Saidabad,611,4,South Zone
Sultan Shahi Dangal,Shain Hotel,640,4,South Zone
Bada Bazar Yakatpura ,Uniq School ,696,4,South Zone
Moorarambagh I,VIP College,858,4,South Zone
Dr Zaker Hussain,opp.pallavi Theater,792,4,South Zone
Saidabad I,opp.pallavi Theater,252,4,South Zone
