Name of Ground,Location,Area in Sq. Mtr,Circle ,Zone
"Srii Bn Reddy, Rd No.14, B.Hills",Backside Nandi Nagar,40,10,Central Zone
Film Nagar II,Backside Sai Baba Temple,80,10,Central Zone
Film Nagar I,Backside Sai Baba Temple,1000,10,Central Zone
Jayaprakash Nagar,Backside of Balkampet,660,10,Central Zone
Journalist Co-Op. Society,Backside of Bharathi Vidya Bhavan,300,10,Central Zone
Adarsh Nagar,Backside of Birla Mandir,616,8,Central Zone
Kamalapuri Colony Playground,Backside of Green Bawarchi,1702,10,Central Zone
Gandhi Nagar (Khairatabad),Backside of Khairtabad Ganesh,100,10,Central Zone
GHMC Ground Sanath Nagar,Backside of Police Station,1479,10,Central Zone
Sanath Nagar H.No.901 Srt,Backside of Sanathnagar Hospital,540,10,Central Zone
Nehru GHMC Ground Sanath Nagar,Backside of Sanathnagar Hospital,2436,10,Central Zone
"Mr Sham Rao Playground
Sanath Nagar",Backside of Sanathnagar Ward office,3159,10,Central Zone
Erramanzil Colony 2,Balapur Basthi,252,10,Central Zone
LIG Park,Balkampet Ward Office Road,200,10,Central Zone
C-Type Park,Balkampet Ward Office Road,399,10,Central Zone
"P.S. Reddy, Rd No.7, Banjara Hills",Banjara Hills E-Seva backside,1400,10,Central Zone
Zeba Bagh,Behind Masjid E Bowli,1100,7,Central Zone
"Narayana Prasad, Yella Reeddy Guda, Behind Sarathi Studio",Behind Sarathi Studio,1749,10,Central Zone
"Kazimunnisa, Rd. No.12, Banjara Hills",Beside ,10952,10,Central Zone
Ibhrahim Bagh,Beside Army Qtrs,600,7,Central Zone
Sanath Nagar H.No.1022 Srt,Beside Ayyappa Swamy temple,672,10,Central Zone
B.K.Guda Residence Welfar association,Beside Balkampet Ward Office,450,10,Central Zone
Vengal Rao Nagar,Beside Gouthami HS,1600,10,Central Zone
Aram Ghar,Beside Masjid,1155,7,Central Zone
"Jalagam Vengal Rao, rd No.12, Banjara Hills",Beside Narasimha Swamy Temple,875,10,Central Zone
Muchkunda Nagar,Beside Raheempura,1152,7,Central Zone
Ps Nagar (Old),Beside St Anna's School,900,7,Central Zone
Film Nagar III,Beside TSSPDCL,150,10,Central Zone
Ramdevguda,Beside Vasavi Engg College,200,7,Central Zone
"Keshav, Yellareddyguda, Sri Nagar Colony",Beside Water Works,13905,10,Central Zone
Mini Cricket Ground Sanathnagar ,Bus Stand opp. Lane,6500,10,Central Zone
S.R.Nagar,Bustop Opp. Lane,7560,10,Central Zone
Madhura Nagar III,C Block,300,10,Central Zone
Anand Nagar,Chintal Basthi Backside,875,10,Central Zone
Mahesh Nagar,Chirag Ali lane,260,8,Central Zone
Sri Nagar Colony,D-Park Back Side,2650,10,Central Zone
Ameerpet pg,Dharamkaram Road,4980,10,Central Zone
Sharfi Chaman,Dhoolpet,4500,7,Central Zone
"Sri Venkateshwara, Erragadda",Erragadda Bustop backside,1450,10,Central Zone
Delux Colony,Galaxy Theatre Back Side,660,10,Central Zone
"Habeeb Fatima Nagar, Erragadda",Gokul Talkies backside,2581,10,Central Zone
Mothi Singh Galli,Gowliguda,42.5,8,Central Zone
Osmania Shahi,Gowliguda,36.96,8,Central Zone
"IAS Colony, Rd No.10, Banjara Hills",IAS Colony Road,400,10,Central Zone
"Sri Sai Co-op Housing, Rd no.13, Banjara Hills",IPS Colony Road,325,10,Central Zone
"Judges Colony, Rd No.10, Banjara Hills",Judges Colony,250,10,Central Zone
Vijay Vani Madhura Nagar-I,KK Tower Opp Lane,96,10,Central Zone
"Rave Subba Rao, Madhura Nagar",KK Tower Opp Lane,50,10,Central Zone
Vijay Vani Madhura Nagar-II,KK Tower Opp Lane,32,10,Central Zone
Laxmi Narasimha Nagar,Kotla Vijaya Bhaskar Opp Lane,44,10,Central Zone
Jawahar Nagar ,Krishnakanth Park Backside,660,10,Central Zone
"Nazeer Yar Jung, Begumpet",Kundanbagh,400,10,Central Zone
"Methodist Colony, Begumpet",Kundanbagh,600,10,Central Zone
Parsigutta (West) I,Musheerabad,561,9,Central Zone
Parsigutta (West) II,Musheerabad,300,9,Central Zone
Parsigutta (East),Musheerabad,1379,9,Central Zone
Musheerabad Playground,Musheerabad Cross Road,2546,9,Central Zone
Vengal Rao Nagar D-Park /Playground,Nalanda School Backside,180,10,Central Zone
Vinayak Nagar,Near 7 Tooms Road,1375,10,Central Zone
Mallepally (Bharat),Near Aadi Doctor,625,7,Central Zone
Asthana Playground (Adikmet),Near Adikmet Flyover,164.8968,9,Central Zone
Agapura I,Near Aghapura Char Kandil,570,8,Central Zone
Agapura II,Near Aghapura Char Kandil,924,8,Central Zone
Agapura III,Near Aghapura Char Kandil,720,8,Central Zone
Mallikarjuna Nagar,Near Amberpet,63,9,Central Zone
MCH Colony Ground,Near Amberpet PG,704,9,Central Zone
Vijay Nagar Colony II,Near Andhra Bank,3036,7,Central Zone
Journalist Co-Op. Hs. No.I,Near Andhra Jyothi,120,10,Central Zone
Film Nagar IV,Near Andhra Jyothi Opp Lane,500,10,Central Zone
Barkatpura,Near Anjaiah Residence former CM,621,9,Central Zone
Mallepally (Jafar Shah),Near Anwar Ul Ullom College,6864,7,Central Zone
Mallepally (Sadat),Near Anwar Ul Ullom Degree College,4558,7,Central Zone
Gulshan Nagar,Near Aurora College,20,9,Central Zone
Central Excise Colony II,Near Ayyapa Temple,775,9,Central Zone
Central Excise Colony I,Near Ayyapa Temple,1620,9,Central Zone
Chikkadpally Community Hall,Near Balaji Temple,315,9,Central Zone
Boiguda Playground,Near Bhoiguda Kaman,600,7,Central Zone
Boiguda Playground,Near Bhoiguda Kaman,600,7,Central Zone
Bakaram,Near Burni Depo,57.9306,9,Central Zone
Golconda Hissar,Near Busstop,3000,7,Central Zone
Gowli Guda,Near CBS,588,8,Central Zone
Canara Bank (Gandhi Nagar),Near Canara Bank,546,9,Central Zone
Tulasi Co-Op.H.Society,Near Central Bank of India,420,9,Central Zone
Kubdiguda Playground,Near Chappal Bazar,160,9,Central Zone
Dr.Zakir Hussain C/H,Near Charkandil,1000,7,Central Zone
Chintal Basthi (Old),Near Chintal Market,200,7,Central Zone
Chintal Basthi (Hockey),Near Chintal Market,8400,7,Central Zone
Murad Nagar Choti Masjid,Near Choti Masjid,476,7,Central Zone
Gol Chaman Ground,Near City Criminal Court,455,7,Central Zone
Red Hills PG,Near City Criminal Court,5243,7,Central Zone
Sbh Colony Park,Near DBR Mills,1927,9,Central Zone
Golconda Foot Ball Ground,Near Dargah,7600,7,Central Zone
Aghapura (Old),Near Darusalam,600,7,Central Zone
Aghapura,Near Darusalam,600,7,Central Zone
Domal Guda Ward Office,Near Domalguda Ward office,16900,9,Central Zone
Gangaputra Colony Playground,Near Friends Colony,315,9,Central Zone
Friends Colony,Near Gangaputra Chowrasta,480,9,Central Zone
Gokul Nagar,Near Glory Theatre,299,7,Central Zone
Owaisi Playground & Sports Complex,Near Golkonda Dargah,5200,7,Central Zone
Chota Bazar,Near Golkonda Fort,600,7,Central Zone
"Reti Galli, Golkonda",Near Golkonda Fort,180,7,Central Zone
Shaikpet PG,Near Gov School,47040,10,Central Zone
Talla Basthi,Near Green Bawarchi,624,9,Central Zone
Sbi Co.Op. Housing Society,Near Gudimalkapur,120,7,Central Zone
Hanuman Tekdi,Near HVS,216,8,Central Zone
Mallepally (Pani),Near Habeeb Nagar,1200,7,Central Zone
Habib Nagar,Near Habeeb Nagar PS,1225,7,Central Zone
"Bagh Lingampally 
(Mother Dairy)",Near Housing Board Colony,952,9,Central Zone
Indira Nagar Bholakpur,Near Indira Nagar,440,9,Central Zone
V V Giri Nagar,Near Jagadamba Hospital Nursing Home,42.042,9,Central Zone
Chikkadpally (Near Janatha School),Near Janatha School,368,9,Central Zone
Sagar Society Banjara Hills,Near Kamalapuri Colony Petrol Pump,1702,10,Central Zone
Ziaguda kamela,Near Kamela,1650,7,Central Zone
Khairatabad Ward Office,Near Khairtabad Ganesh ,1200,10,Central Zone
Domal Guda (Near Kuchipudi),Near Kuchipudi,492.5175,9,Central Zone
Krishna Nagar,Near Library,366,9,Central Zone
Ramsingh Pura Community Hall,Near MG Nagar Community Hall ,900,7,Central Zone
Mallepally (Fakri Millat),Near Mallepally Badi Masjid,11468,7,Central Zone
Mallepally (Football),Near Mallepally Badi Masjid,4158,7,Central Zone
Mallepally (Mm Hashim),Near Mallepally Badi Masjid,6764,7,Central Zone
Afzal Sagar,Near Mallepally Chowrasta,700,7,Central Zone
Mallepally (Mujahit),Near Mallepally Chowrasta,775,7,Central Zone
Vijay Nagar Colony I,Near Meera Garden,7500,7,Central Zone
Alapati Nagar,Near Murad Nagar Chota Masjid,640,7,Central Zone
Salarjung Colony Park/Playground,Near Nanalnagar Ring Road,3850,7,Central Zone
Ghantashala Playground,Near Narmada Nursing Home,3355,9,Central Zone
Ghantashala Playground,Near Narmada Nursing Home,3355,9,Central Zone
Amberpet Pg,Near Old Police Station,12760,9,Central Zone
Sri Ram Nagar C. Hall,Near Parsigutta,52.25,9,Central Zone
Sri Ram Nagar II,Near Parsigutta,52.25,9,Central Zone
Golconda Risala,Near Police Station,8000,7,Central Zone
Rahimpura PG,Near Puranapul,4200,7,Central Zone
Bapu Adarsh Bhavan,Near Rahimpura PG,450,7,Central Zone
Vidya Nagar II,Near Railway Station,525,9,Central Zone
Vidya Nagar III,Near Railway Station,215.8,9,Central Zone
Vidya Nagar I,Near Railway Station,416,9,Central Zone
"Srt Colony, Ram Nagar",Near Ram nagar Chowrasta,480,9,Central Zone
Ram Krishna Nagar,Near Red Building,328.02,9,Central Zone
Lingampally,Near Reddy College Backside,1476.44,9,Central Zone
Asif Nagar,Near Royal Sea Hotel,400,7,Central Zone
Gunfoundry,"Near SBH, HO",570,8,Central Zone
Ziaguda PG,Near Sabji Mandi,1200,7,Central Zone
Panjagutta,Near Sai Baba temple,600,10,Central Zone
Siddartha Nagar,Near Sai Baba temple,360,10,Central Zone
Yuva Seva Welfare Association,Near Sanath Nagar Market,238,10,Central Zone
Palakhan Ground Sanath Nagar,Near Sanath Nagar Market,1525,10,Central Zone
Ravindra Nagar,Near Sanath Nagar Ward office,1056,10,Central Zone
DNM Colony Youth Members,Near Sanath Nagar Ward office,238,10,Central Zone
Tallagadda,Near Sharadha Nagar,486,7,Central Zone
Chikkadpally (Near Slums),Near Slums,42,9,Central Zone
"Sri Saraswati Bai Gafer Colony Rd No.10, Banjara Hills",Near Star Hospital,675,10,Central Zone
Jawahar Nagar Pg,Near Sudershan Theatre 35 MM,1980,9,Central Zone
Trt Colony,Near Sudershan Theatre 35 MM,504,9,Central Zone
Chikkadpally Housing Board,Near Sundaraiah Park,220,9,Central Zone
