source_record_id,source_file,source_url,library_id,name,normalized_name,location_type,zone,address,latitude,longitude,coordinate_source,map_url,geocode_status,confidence,notes
dpl_location_0018,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_shakur_pur_0018,Shakur Pur,shakur pur,fixed_library,north,"Delhi Public Library, Community Centre, Near Samrat Cinema, Shakur Pur, Delhi-110034",,,,https://goo.gl/maps/RKEmqYQz3SFXc2Ls8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0019,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_jwala_puri_0019,Jwala Puri,jwala puri,fixed_library,north,"Delhi Public Library, Delhi Nagar Nigam Bhawan, North Zone, Ward No. 42, Opp. DTC Depot., Jwala Puri, Delhi-110087",,,,https://goo.gl/maps/EXxk9TjwqUytTtoN6,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0020,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_mundka_closed_0020,Mundka Closed,mundka closed,sub_branch_library,north,"Delhi Public Library, Community Centre, Near Supar Bazar, Mundka Village, New Delhi-110041",,,,,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0021,operations__north_zone.html,https://dpl.gov.in/index.php/north-zone,dpl_karol_bagh_closed_0021,Karol Bagh Closed,karol bagh closed,zonal_library,north,"Delhi Public Library,5/56, D.B.Gupta Road, Karol Bagh, New Delhi-110005",,,,,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0022,operations__south_zone.html,https://dpl.gov.in/index.php/south-zone,dpl_sarojini_nagar_0022,Sarojini Nagar,sarojini nagar,zonal_library,south,"Delhi Public Library, H-block, Near Main Market, Sarojini Nagar, New Delhi-110023",28.57541837075426,77.1939355577162,google_maps_embed,https://goo.gl/maps/yaWsNBHuJD9qvzS67,verified_coordinates,high,DPL-published fixed location parsed from zone page.
dpl_location_0023,operations__south_zone.html,https://dpl.gov.in/index.php/south-zone,dpl_braille_library_0023,Braille Library,braille library,fixed_library,south,"Delhi Public Library, Blind Relief Association, Near Oberoi Hotel, Lal Bahadur Shastri Marg, New Delhi-110003",,,,https://goo.gl/maps/xyzze9MLWSqvaDGT6,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0024,operations__south_zone.html,https://dpl.gov.in/index.php/south-zone,dpl_r_k_puram_sector_8_0024,"R.K.Puram, Sector-8",r k puram sector 8,sub_branch_library,south,"Delhi Public Library, Flat no 3 and 4, Sector-8 Market, R.K.Puram, New Delhi-110022",,,,https://goo.gl/maps/e2hnXRv5MENq1U2r8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0025,operations__south_zone.html,https://dpl.gov.in/index.php/south-zone,dpl_andrews_gunj_0025,Andrews Gunj,andrews gunj,sub_branch_library,south,"Delhi Public Library, Community Centre, Andrews Ganj, New Delhi-110049",,,,https://goo.gl/maps/Nwg8V4aoiuVBsVAf8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0026,operations__south_zone.html,https://dpl.gov.in/index.php/south-zone,dpl_vinoba_puri_0026,Vinoba Puri,vinoba puri,sub_branch_library,south,"Delhi Public Library, Cultural Centre, Ground Floor, Near Vinoba Puri Metro Station, Vinoba Puri,New Delhi-110024",,,,https://goo.gl/maps/WNXNnjmrNNkoBDH9A,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0027,operations__south_zone.html,https://dpl.gov.in/index.php/south-zone,dpl_dakshin_puri_0027,Dakshin Puri,dakshin puri,fixed_library,south,"Delhi Public Library, Community Centre, Dakshin Puri, New Delhi-110062",,,,https://goo.gl/maps/yaWsNBHuJD9qvzS67,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0028,operations__south_zone.html,https://dpl.gov.in/index.php/south-zone,dpl_lodhi_colony_0028,Lodhi Colony,lodhi colony,community_library,south,"Delhi Public Library, Community Centre, Lodhi Colony, New Delhi-110003",,,,https://goo.gl/maps/zUmXh3wpahT2ZpgF8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0029,operations__west_zone.html,https://dpl.gov.in/index.php/west-zone,dpl_patel_nagar_0029,Patel Nagar,patel nagar,zonal_library,west,"Delhi Public Library (Kedarnath Sahni Adhayan Kendra), 9/11 East Patel Nagar (Second & Third Floor), Near Kingston Hotel, New Delhi- 110008",28.6446592,77.1726977,google_maps_url,"https://www.google.com/maps/place/9,+1%2F1,+Block,+2,+Block+18,+East+Patel+Nagar,+Patel+Nagar,+New+Delhi,+Delhi+110008/@28.6446592,77.1726977,18z/data=!3m1!4b1!4m8!1m2!2m1!1s9%2F11,+East+Patel+Nagar+(Second+Floor),+Near+Kingston+Hotel,+New+Delhi-+110008!3m4!1s0x390d02950363dfe9:0x4742481b91364432!8m2!3d28.6446592!4d77.173792",verified_coordinates,high,DPL-published fixed location parsed from zone page.
dpl_location_0030,operations__west_zone.html,https://dpl.gov.in/index.php/west-zone,dpl_janak_puri_0030,Janak Puri,janak puri,sub_branch_library,west,"Delhi Public Library, Community Centre, C Block, Behind Janak Cinema, New Delhi-110058",,,,https://goo.gl/maps/f3cxnxP7rHjUovCm8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0031,operations__west_zone.html,https://dpl.gov.in/index.php/west-zone,dpl_peshwa_road_0031,Peshwa Road,peshwa road,sub_branch_library,west,"Delhi Public Library, Samaj Sadan 1st floor, Grih Kalyan Kendra, Near Gole Market, New Delhi-110001",,,,https://goo.gl/maps/ToUwkZnoPL8SLFhk8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0032,operations__west_zone.html,https://dpl.gov.in/index.php/west-zone,dpl_diz_area_0032,DIZ. Area,diz area,sub_branch_library,west,"Delhi Public Library, Samaj Sadan, Grih Kalyan Kendra, R.K.Ashram Marg, DIZ Area, New Delhi-110001",,,,https://goo.gl/maps/m2A7aMy9rnXVE7Ko7,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0033,operations__west_zone.html,https://dpl.gov.in/index.php/west-zone,dpl_kasturba_gandhi_marg_0033,Kasturba Gandhi Marg,kasturba gandhi marg,sub_branch_library,west,"Delhi Public Library, Asia House (First Floor), Near Vidhya Bharati School, K.G.Marg, New Delhi-110001",,,,https://goo.gl/maps/KsEYE99cNmKBFiAE9,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0034,operations__west_zone.html,https://dpl.gov.in/index.php/west-zone,dpl_tri_nagar_0034,Tri Nagar,tri nagar,sub_branch_library,west,"Delhi Public Library, MCD Building, Talab Road, Totaram Bazar, Tri Nagar, Delhi-110035",,,,https://goo.gl/maps/jueYy3a2UJqwi4fi8,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0035,operations__west_zone.html,https://dpl.gov.in/index.php/west-zone,dpl_tihar_jail_0035,Tihar Jail,tihar jail,sub_branch_library,west,"Delhi Public Library, Gate No 2, Tihar Jail complex, New Delhi-110064",,,,https://goo.gl/maps/CWRyGcFYcnFFeg7j9,needs_geocode,medium,DPL-published fixed location parsed from zone page.
dpl_location_0036,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_001_0036,Mobile Service Point 001,mobile service point 001,mobile_service_point,mobile,"RWA Pocket-2, Near Mayur Vihar Police Station, Mayur Vihar, Phase I, Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
dpl_location_0037,operations__schedule_and_points_of_mobile_van.html,https://dpl.gov.in/index.php/mobile-library-services/2-uncategorised/63-schedule-and-points-of-mobile-van,dpl_mobile_service_point_002_0037,Mobile Service Point 002,mobile service point 002,mobile_service_point,mobile,"The East End Apartments, Mayur Vihar-I, Near New Ashok Nagar Metro Station, Delhi",,,,,needs_geocode,medium,DPL-published mobile service point address; coordinate requires geocoding.
